synset,adverb,sentence,type
00001885-r,AD,in AD 200,adverb.temporal
00002029-r,CE,in 200 CE,adverb.temporal
00002190-r,BC,in 200 BC,adverb.temporal
00002344-r,BCE,in 200 BCE,adverb.temporal
00002484-r,horseback,he rode horseback to town,adverb.manner
00002484-r,ahorse,managed to escape ahorse,adverb.manner
00002484-r,ahorseback,policeman patrolled the streets ahorseback,adverb.manner
00002669-r,hardly,we hardly knew them,adverb.degree
00002669-r,scarcely,had scarcely rung the bell when the door flew open,adverb.degree
00002935-r,just,I only just caught the bus,adverb.degree
00002935-r,just,he finished the marathon in just under 3 hours,adverb.degree
00002935-r,barely,it was barely 5 a.m.,adverb.degree
00002935-r,barely,the network has barely 5 percent of viewers,adverb.degree
00002935-r,just,the batter just missed being hit,adverb.degree
00003175-r,just,"we've just finished painting the walls, so don't touch them",adverb.temporal
00003317-r,hardly,he hardly ever goes fishing,adverb.degree
00003317-r,scarce,he was scarce sixteen years old,adverb.degree
00003317-r,scarcely,they scarcely ever used the emergency generator,adverb.frequency
00003317-r,hardly,I can hardly hear what she is saying,adverb.degree
00003317-r,barely,she barely seemed to notice him,adverb.degree
00003317-r,barely,we were so far back in the theater we could barely read the subtitles,adverb.degree
00003864-r,basically,He is basically dishonest,adverb.degree
00003864-r,essentially,the argument was essentially a technical one,adverb.degree
00004227-r,boiling,boiling mad,adverb.degree
00004306-r,enviably,she was enviably fluent in French,adverb.degree
00004419-r,pointedly,he pointedly ignored the question,adverb.manner
00004565-r,negatively,he was negatively inclined,adverb.manner
00004669-r,negatively,he was negatively affected,adverb.manner
00004775-r,kindly,He spoke kindly to the boy,adverb.manner
00004775-r,kindly,she kindly overlooked the mistake,adverb.subject_oriented
00004948-r,unkindly,The teacher treats the children unkindly,adverb.manner
00005103-r,merely,I was merely asking,adverb.focus
00005103-r,simply,it is simply a matter of time,adverb.focus
00005103-r,just,just a scratch,adverb.focus
00005103-r,only,he was only a child,adverb.focus
00005103-r,but,hopes that last but a moment,adverb.focus
00005348-r,simply,we are simply broke,adverb.degree
00005436-r,plainly,she was dressed plainly,adverb.manner
00005436-r,simply,they lived very simply,adverb.manner
00005591-r,anciently,a concern with what may have happened anciently,adverb.temporal
00005724-r,arguably,she is arguably the best,adverb.speaker_oriented
00005948-r,automatically,he answered automatically,adverb.manner
00006055-r,alarmingly,It grew alarmingly fast,adverb.degree
00006160-r,vastly,He had vastly overestimated his resources,adverb.degree
00006160-r,immensely,was immensely more important to the project as a scientist than as an administrator,adverb.degree
00006486-r,largely,These accounts are largely inactive,adverb.degree
00006640-r,significantly,our budget will be significantly affected by these new cuts,adverb.degree
00006822-r,insignificantly,our budget will only be insignificantly affected by these new cuts,adverb.degree
