synset,adverb,sentence,definition,type
00001740-r,a cappella,they performed a cappella,without musical accompaniment,
00001740-r,a capella,they performed a cappella,without musical accompaniment,
00003675-r,anisotropically,,in an anisotropic manner,
00003761-r,annoyingly,,in an annoying manner or to an annoying degree,
00004152-r,blessedly,,in a blessed manner,
00005834-r,unabashedly,"unabashedly, he asked for more",in an unabashed manner,
00006415-r,grossly,,in a gross manner,
00012509-r,isotropically,,in an isotropic manner,
00015830-r,satisfactorily,,in a satisfactory manner,
00016322-r,prosperously,,in the manner of prosperous people,
00018343-r,even as,even as he lay dying they argued over his estate,at the same time as,
00018343-r,just as,even as he lay dying they argued over his estate,at the same time as,
00018727-r,e'en,,even,
00020362-r,con brio,allegro con brio,(music) with vigor,
00020474-r,conjecturally,,in a manner involving or inclined to conjecture and supposition,
00021131-r,coterminously,,in a coterminous manner,
00022855-r,long ago,We met once long ago,of the distant or comparatively distant past,
00022855-r,long since,We met once long ago,of the distant or comparatively distant past,
00022855-r,lang syne,We met once long ago,of the distant or comparatively distant past,
00022855-r,langsyne,We met once long ago,of the distant or comparatively distant past,
00023171-r,pretty much,we were pretty much lost when we met the forest ranger,to some degree,
00023622-r,paradoxically,"paradoxically, ice ages seem to occur when the sun gets hotter",in a paradoxical manner,
00023771-r,parasitically,,in a parasitic manner,
00023852-r,conformably,,in a conformable manner,
00024234-r,pathogenically,,in a pathogenic manner,
00024715-r,no,"no, you are wrong",used to express refusal or denial or disagreement etc. or especially to emphasize a negative statement,
00026470-r,high and low,searched high and low,everywhere,
00026948-r,anyhow,"Anyhow, he is dead now",used to indicate that a statement explains or supports a previous statement,
00026948-r,anyway,"Anyhow, he is dead now",used to indicate that a statement explains or supports a previous statement,
00026948-r,anyways,"Anyhow, he is dead now",used to indicate that a statement explains or supports a previous statement,
00026948-r,in any case,"Anyhow, he is dead now",used to indicate that a statement explains or supports a previous statement,
00026948-r,at any rate,"Anyhow, he is dead now",used to indicate that a statement explains or supports a previous statement,
00026948-r,in any event,"Anyhow, he is dead now",used to indicate that a statement explains or supports a previous statement,
00027470-r,as it is,"he might have been killed; as it is, he was severely injured",in the actual state of affairs and often contrary to expectations,
00029193-r,however,"the first part was easy; the second, however, took hours",by contrast; on the other hand,
00029433-r,besides,"I don't want to go to a restaurant; besides, we can't afford it",making an additional point; anyway,
00029433-r,in any case,"I don't want to go to a restaurant; besides, we can't afford it",making an additional point; anyway,
00029674-r,fugally,,in a fugal style,
00029763-r,furthermore,"computer chess games are getting cheaper all the time; furthermore, their quality is improving",denoting additional information,
00029763-r,moreover,"computer chess games are getting cheaper all the time; furthermore, their quality is improving",denoting additional information,
00029763-r,what is more,"computer chess games are getting cheaper all the time; furthermore, their quality is improving",denoting additional information,
00029763-r,in addition,"computer chess games are getting cheaper all the time; furthermore, their quality is improving",denoting additional information,
00031610-r,futilely,,in a futile and unproductive manner,
00031911-r,no longer,she is no more,not now,
00031911-r,no more,she is no more,not now,
00033624-r,hereunder,,under the terms of this agreement,
00034050-r,a bit,it's a bit warm,to a small degree; somewhat,
00034050-r,a little,it's a bit warm,to a small degree; somewhat,
00034050-r,a trifle,it's a bit warm,to a small degree; somewhat,
00034524-r,ASAP,,as soon as possible,
00035133-r,spiritedly,,in a spirited or lively manner; with animation and vivacity,
00035249-r,sportively,,in a merry sportive manner,
00035332-r,stormily,,in a stormy or violent manner,
00035332-r,turbulently,,in a stormy or violent manner,
00035332-r,passionately,,in a stormy or violent manner,
00035642-r,oftener,,more often or more frequently,
